conversation_id,in_reply_to_user_id,public_metrics,created_at,author_id,id,text
1466878631289012232,62557485,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:37:43.000Z,1387930524346421254,1466974975710093325,"@Tatawerneck Fica tranquila tata, Thiago teve que aguentar ele por 100 dias e todas as vezes que mandou o fiuk a merda a gente defendeu. Vamos defender vc tbm, puta mlk chato e sem senso."
1466954465995636736,500422372,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:36:52.000Z,37110270,1466974758369742849,@wcsthebieber Ain miga … hj que tem fiuk chato pra porra?
1466974702216298496,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:36:38.000Z,1208085390902677504,1466974702216298496,meudeus mas o fiuk é insuportável mesmo que cara chato
1466610590894354432,3421062633,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:36:25.000Z,1427310247731937283,1466974648713818116,"@onlyponny_ Vai, a Globo vai parar de mostrar o Fiuk pq a @onlyponny_  não gosta dele 😂😂😂😂😂😂😂😃"
1466974329183391747,,"{'retweet_count': 0, 'reply_count': 6, 'like_count': 13, 'quote_count': 0}",2021-12-04T03:35:09.000Z,1463596121364873216,1466974329183391747,as festas q eu mais odiei e chorei assistindo bbb foi a da Índia a do fiuk e a da cea c pudesse apagava essas festas da minha memória juro
1466974066984861697,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:34:07.000Z,1416584990545088517,1466974066984861697,"há muito tempo já tô com a rata w3rn3ck entalada na garganta, pirou mais ainda quando a lilia tava falando emocionada sobre a dina sfat e essa puta interrompeu pra fazer brincadeira. agora as lambe cu dela tao criticando o fiuk por nada vsf porra nem apresentadora ela eh"
1466868258074673162,1124451624250953729,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}",2021-12-04T03:34:03.000Z,34859199,1466974051893665793,"@42__black @rodrigueslluzia @renatacorrea É a mãe da Cleo Pires, do Fiuk não 🎶"
1466878631289012232,1176280349472690176,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:32:54.000Z,1456403815897477120,1466973760750247937,@eucanceladinho @Tatawerneck Isso é às redes sociais  meu bem um mostro tanto levanta como derrubar  principalmente quando pessoas chatas vem à tona  pra q desenterrar fiuk pra que 😐
1466973437751087108,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:31:37.000Z,1450045303273496576,1466973437751087108,Fiuk meu cara tu é sem comebtarios https://t.co/Sxc3g13p4S
1466973431921004557,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:31:35.000Z,1236676158948880384,1466973431921004557,"Fiuk é chatão, acho que nem o pai dele suporta"
1466598221753425921,1348869748084375560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-04T03:31:10.000Z,1439310437645004809,1466973324089741316,"@mahnumartins @etteluJF @Lucas_olvr2 @jonathan_piropo @AcervoTata o Fiuk tá lançando uma nova modalidade de atuação q consiste em viver o personagem 24h por dia, 7 dias por semana. vcs q ñ estão preparados"
1466878631289012232,62557485,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:31:00.000Z,1122361860,1466973284273209347,@Tatawerneck fiuk é péssimo 😒
1466957990607704065,1351601185409691648,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",2021-12-04T03:30:47.000Z,1463596121364873216,1466973230653132800,@Manuuuu_0 @commentslaraa a festa da cea e a do fiuk competem pra ver qual foi pior
1466973097139920899,,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",2021-12-04T03:30:16.000Z,1107805466590105601,1466973097139920899,"Fiuk eh muito chato, gente do céu q agonia desse homem falando"
